Opcode, Cycles
AADD, 0
AAND, 0
ADC, 1
ADC_10, 1
ADC_11, 1
ADC_12, 1
ADC_13, 1
ADC_LOCK, 13
ADC_R0, 1
ADC_R4, 1
ADCX, 1
ADD, 1
ADD_00, 1
ADD_01, 1
ADD_02, 1
ADD_03, 1
ADD_LOCK, 13
ADD_R0, 1
ADD_R4, 1
ADDPD, 2
ADDPS, 2
ADDSD, 2
ADDSS, 2
ADDSUBPD, 2
ADDSUBPS, 2
ADOX, 1
AESDEC, 3
AESDEC128KL, 0
AESDEC256KL, 0
AESDECLAST, 3
AESDECWIDE128KL, 0
AESDECWIDE256KL, 0
AESENC, 3
AESENC128KL, 0
AESENC256KL, 0
AESENCLAST, 3
AESENCWIDE128KL, 0
AESENCWIDE256KL, 0
AESIMC, 8
AESKEYGENASSIST, 7
AND, 1
AND_20, 1
AND_21, 1
AND_22, 1
AND_23, 1
AND_LOCK, 14
AND_R0, 1
AND_R4, 1
ANDN, 1
ANDNPD, 1
ANDNPS, 1
ANDPD, 1
ANDPS, 1
AOR, 0
AXOR, 0
BEXTR, 4
BEXTR_XOP, 0
BLCFILL, 0
BLCI, 0
BLCIC, 0
BLCMSK, 0
BLCS, 0
BLENDPD, 1
BLENDPS, 1
BLENDVPD, 1
BLENDVPS, 1
BLSFILL, 0
BLSI, 1
BLSIC, 0
BLSMSK, 1
BLSR, 1
BNDCL, 0
BNDCL_B, 0
BNDCL_B_D32, 0
BNDCL_B_D8, 0
BNDCL_B_I, 0
BNDCL_B_I_D32, 0
BNDCL_B_I_D8, 0
BNDCL_B_IS, 0
BNDCL_B_IS_D32, 0
BNDCL_B_IS_D8, 0
BNDCL_D32, 0
BNDCL_I_D32, 0
BNDCL_IS_D32, 0
BNDCL_R_D32, 0
BNDCN, 0
BNDCN_B, 0
BNDCN_B_D32, 0
BNDCN_B_D8, 0
BNDCN_B_I, 0
BNDCN_B_I_D32, 0
BNDCN_B_I_D8, 0
BNDCN_B_IS, 0
BNDCN_B_IS_D32, 0
BNDCN_B_IS_D8, 0
BNDCN_D32, 0
BNDCN_I_D32, 0
BNDCN_IS_D32, 0
BNDCN_R_D32, 0
BNDCU, 0
BNDCU_B, 0
BNDCU_B_D32, 0
BNDCU_B_D8, 0
BNDCU_B_I, 0
BNDCU_B_I_D32, 0
BNDCU_B_I_D8, 0
BNDCU_B_IS, 0
BNDCU_B_IS_D32, 0
BNDCU_B_IS_D8, 0
BNDCU_D32, 0
BNDCU_I_D32, 0
BNDCU_IS_D32, 0
BNDCU_R_D32, 0
BNDLDX, 0
BNDMK_B, 0
BNDMK_B_D32, 0
BNDMK_B_D8, 0
BNDMK_B_I, 0
BNDMK_B_I_D32, 0
BNDMK_B_I_D8, 0
BNDMK_B_IS, 0
BNDMK_B_IS_D32, 0
BNDMK_B_IS_D8, 0
BNDMK_D32, 0
BNDMK_I_D32, 0
BNDMK_IS_D32, 0
BNDMOV, 0
BNDSTX, 0
BSF, 3
BSR, 3
BSWAP, 2
BT, 3
BTC, 1
BTC_LOCK, 16
BTR, 1
BTR_LOCK, 16
BTS, 1
BTS_LOCK, 16
BZHI, 3
CALL_FAR, 0
CBW, 1
CDQ, 1
CDQE, 1
CLAC, 0
CLC, 0
CLD, 0
CALL_NEAR, 0
CLDEMOTE, 0
CLFLUSH, 0
CLGI, 0
CLI, 0
CLFLUSHOPT, 0
CLTS, 0
CLUI, 0
CLRSSBSY, 0
CLZERO, 0
CMC, 1
CLWB, 0
CMOVB, 1
CMOVBE, 1
CMOVL, 1
CMOVLE, 1
CMOVNB, 1
CMOVNBE, 1
CMOVNL, 1
CMOVNLE, 1
CMOVNO, 1
CMOVNP, 1
CMOVNS, 1
CMOVNZ, 1
CMOVO, 1
CMOVP, 1
CMOVS, 1
CMOVZ, 1
CMP, 1
CMP_38, 1
CMP_39, 1
CMP_3A, 1
CMP_3B, 1
CMP_R0, 1
CMP_R4, 1
CMPBEXADD, 0
CMPBXADD, 0
CMPLEXADD, 0
CMPLXADD, 0
CMPNBEXADD, 0
CMPNBXADD, 0
CMPNLEXADD, 0
CMPNLXADD, 0
CMPNOXADD, 0
CMPNPXADD, 0
CMPNSXADD, 0
CMPNZXADD, 0
CMPOXADD, 0
CMPPD, 4
CMPPS, 4
CMPSB, 1
CMPSB_REPE, 0
CMPSB_REPNE, 0
CMPSD, 1
CMPSD_REPE, 0
CMPSD_REPNE, 0
CMPPXADD, 0
CMPSQ, 1
CMPSQ_REPE, 0
CMPSQ_REPNE, 0
CMPSD_XMM, 4
CMPSW, 4
CMPSW_REPE, 0
CMPSW_REPNE, 0
CMPSS, 4
CMPSXADD, 0
CMPXCHG, 0
CMPXCHG_LOCK, 14
CMPXCHG16B, 0
CMPXCHG16B_LOCK, 21
CMPXCHG8B, 0
CMPXCHG8B_LOCK, 16
CMPZXADD, 0
COMISD, 3
CPUID, 0
CQO, 1
COMISS, 3
CRC32, 3
CVTDQ2PD, 5
CVTDQ2PS, 4
CVTPD2DQ, 5
CVTPD2PI, 8
CVTPD2PS, 5
CVTPI2PD, 6
CVTPI2PS, 4
CVTPS2DQ, 4
CVTPS2PD, 5
CVTPS2PI, 9
CVTSD2SI, 7
CVTSD2SS, 1
CVTSI2SD, 4
CVTSI2SS, 1
CVTSS2SD, 4
CVTSS2SI, 8
CVTTPD2DQ, 5
CVTTPD2PI, 8
CVTTPS2DQ, 4
CVTTPS2PI, 9
CVTTSD2SI, 7
CWD, 2
CWDE, 1
CVTTSS2SI, 8
DEC, 0
DEC_LOCK, 17
DIV, 14
DIVPD, 13
DIVPS, 11
DIVSD, 13
DIVSS, 11
DPPD, 9
EMMS, 0
ENCLS, 0
ENCLU, 0
DPPS, 14
ENCODEKEY128, 0
ENDBR32, 0
ENDBR64, 0
ENCODEKEY256, 0
ENQCMD, 0
ENQCMDS, 0
ENTER, 126
ENTER_W, 109
EXTRACTPS, 4
EXTRQ, 0
F2XM1, 0
FABS, 0
FADD, 0
FADDP, 0
FBLD, 0
FBSTP, 0
FCHS, 0
FCMOVB, 0
FCMOVBE, 0
FCMOVE, 0
FCMOVNB, 0
FCMOVNBE, 0
FCMOVNE, 0
FCMOVNU, 0
FCMOVU, 0
FCOM, 0
FCOMI, 0
FCOMIP, 0
FCOMP, 0
FCOMPP, 0
FDECSTP, 0
FCOS, 0
FDIV, 0
FDIVP, 0
FDIVR, 0
FDIVRP, 0
FFREE, 0
FIADD, 0
FICOM, 0
FICOMP, 0
FIDIV, 0
FIDIVR, 0
FILD, 0
FINCSTP, 0
FIMUL, 0
FIST, 0
FISTP, 0
FISTTP, 0
FISUB, 0
FISUBR, 0
FLD, 0
FLD1, 0
FLDCW, 0
FLDENV, 0
FLDENV_W, 0
FLDL2E, 0
FLDL2T, 0
FLDLG2, 0
FLDLN2, 0
FLDPI, 0
FLDZ, 0
FMUL, 0
FNCLEX, 0
FNINIT, 0
FNOP, 0
FMULP, 0
FNSAVE, 0
FNSAVE_W, 0
FNSTCW, 0
FNSTENV, 0
FNSTSW, 0
FNSTENV_W, 0
FNSTSW, 0
FPATAN, 0
FPREM, 0
FPREM1, 0
FPTAN, 0
FRNDINT, 0
FRSTOR, 0
FRSTOR_W, 0
FSCALE, 0
FSIN, 0
FSINCOS, 0
FSQRT, 0
FST, 0
FSTP, 0
FSUB, 0
FSUBP, 0
FSUBR, 0
FSUBRP, 0
FTST, 0
FUCOM, 0
FUCOMI, 0
FUCOMIP, 0
FUCOMP, 0
FWAIT, 0
FUCOMPP, 0
FXAM, 0
FXCH, 0
FXRSTOR, 0
FXRSTOR64, 0
FXSAVE, 0
FXSAVE64, 0
FXTRACT, 0
FYL2X, 0
GETSEC, 0
FYL2XP1, 0
GF2P8AFFINEINVQB, 3
GF2P8AFFINEQB, 3
GF2P8MULB, 3
HADDPD, 5
HLT, 0
HADDPS, 5
HRESET, 0
HSUBPD, 5
HSUBPS, 5
IDIV, 14
IMUL, 3
